id,source,score,status,raw
benign_00000,benign,0,scored,0
benign_00001,benign,0,scored,0
benign_00002,benign,0,scored,0
benign_00003,benign,0,scored,0
benign_00004,benign,0,scored,0
benign_00005,benign,0,scored,0
benign_00006,benign,0,scored,0
benign_00007,benign,0,scored,0
benign_00008,benign,0,scored,0
benign_00009,benign,0,scored,0
benign_00010,benign,0,scored,0
benign_00011,benign,0,scored,0
benign_00012,benign,0,scored,0
benign_00013,benign,0,scored,0
benign_00014,benign,0,scored,0
benign_00015,benign,0,scored,0
benign_00016,benign,0,scored,0
benign_00017,benign,0,scored,0
benign_00018,benign,0,scored,0
benign_00019,benign,0,scored,0
benign_00020,benign,0,scored,0
benign_00021,benign,0,scored,0
benign_00022,benign,0,scored,0
benign_00023,benign,0,scored,0
benign_00024,benign,0,scored,0
benign_00025,benign,0,scored,0
benign_00026,benign,0,scored,0
benign_00027,benign,0,scored,0
benign_00028,benign,0,scored,0
benign_00029,benign,0,scored,0
benign_00030,benign,0,scored,0
benign_00031,benign,0,scored,0
benign_00032,benign,0,scored,0
benign_00033,benign,0,scored,0
benign_00034,benign,0,scored,0
benign_00035,benign,0,scored,0
benign_00036,benign,0,scored,0
benign_00037,benign,0,scored,0
benign_00038,benign,0,scored,0
benign_00039,benign,0,scored,0
benign_00040,benign,0,scored,0
benign_00041,benign,0,scored,0
benign_00042,benign,0,scored,0
benign_00043,benign,0,scored,0
benign_00044,benign,0,scored,0
benign_00045,benign,0,scored,0
benign_00046,benign,0,scored,0
benign_00047,benign,0,scored,0
benign_00048,benign,0,scored,0
benign_00049,benign,0,scored,0
benign_00050,benign,0,scored,0
benign_00051,benign,0,scored,0
benign_00052,benign,0,scored,0
benign_00053,benign,0,scored,0
benign_00054,benign,0,scored,0
benign_00055,benign,0,scored,0
benign_00056,benign,0,scored,0
benign_00057,benign,0,scored,0
benign_00058,benign,0,scored,0
benign_00059,benign,0,scored,0
benign_00060,benign,0,scored,0
benign_00061,benign,0,scored,0
benign_00062,benign,0,scored,0
benign_00063,benign,0,scored,0
benign_00064,benign,0,scored,0
benign_00065,benign,0,scored,0
benign_00066,benign,0,scored,0
benign_00067,benign,0,scored,0
benign_00068,benign,0,scored,0
benign_00069,benign,0,scored,0
benign_00070,benign,0,scored,0
benign_00071,benign,0,scored,0
benign_00072,benign,0,scored,0
benign_00073,benign,0,scored,0
benign_00074,benign,0,scored,0
benign_00075,benign,0,scored,0
benign_00076,benign,0,scored,0
benign_00077,benign,0,scored,0
benign_00078,benign,0,scored,0
benign_00079,benign,0,scored,0
benign_00080,benign,0,scored,0
benign_00081,benign,0,scored,0
benign_00082,benign,0,scored,0
benign_00083,benign,0,scored,0
benign_00084,benign,0,scored,0
benign_00085,benign,0,scored,0
benign_00086,benign,0,scored,0
benign_00087,benign,0,scored,0
benign_00088,benign,0,scored,0
benign_00089,benign,0,scored,0
benign_00090,benign,0,scored,0
benign_00091,benign,0,scored,0
benign_00092,benign,0,scored,0
benign_00093,benign,0,scored,0
benign_00094,benign,0,scored,0
benign_00095,benign,0,scored,0
benign_00096,benign,0,scored,0
benign_00097,benign,0,scored,0
benign_00098,benign,0,scored,0
benign_00099,benign,0,scored,0
benign_00100,benign,0,scored,0
benign_00101,benign,0,scored,0
benign_00102,benign,0,scored,0
benign_00103,benign,0,scored,0
benign_00104,benign,0,scored,0
benign_00105,benign,0,scored,0
benign_00106,benign,0,scored,0
benign_00107,benign,0,scored,0
benign_00108,benign,0,scored,0
benign_00109,benign,0,scored,0
benign_00110,benign,0,scored,0
benign_00111,benign,0,scored,0
benign_00112,benign,0,scored,0
benign_00113,benign,0,scored,0
benign_00114,benign,0,scored,0
benign_00115,benign,0,scored,0
benign_00116,benign,0,scored,0
benign_00117,benign,0,scored,0
benign_00118,benign,0,scored,0
benign_00119,benign,0,scored,0
benign_00120,benign,0,scored,0
benign_00121,benign,0,scored,0
benign_00122,benign,0,scored,0
benign_00123,benign,0,scored,0
benign_00124,benign,0,scored,0
benign_00125,benign,0,scored,0
benign_00126,benign,0,scored,0
benign_00127,benign,0,scored,0
benign_00128,benign,0,scored,0
benign_00129,benign,0,scored,0
benign_00130,benign,0,scored,0
benign_00131,benign,0,scored,0
benign_00132,benign,0,scored,0
benign_00133,benign,0,scored,0
benign_00134,benign,0,scored,0
benign_00135,benign,0,scored,0
benign_00136,benign,0,scored,0
benign_00137,benign,0,scored,0
benign_00138,benign,0,scored,0
benign_00139,benign,0,scored,0
benign_00140,benign,0,scored,0
benign_00141,benign,0,scored,0
benign_00142,benign,0,scored,0
benign_00143,benign,0,scored,0
benign_00144,benign,0,scored,0
benign_00145,benign,0,scored,0
benign_00146,benign,0,scored,0
benign_00147,benign,0,scored,0
benign_00148,benign,0,scored,0
benign_00149,benign,0,scored,0
benign_00150,benign,0,scored,0
benign_00151,benign,0,scored,0
benign_00152,benign,0,scored,0
benign_00153,benign,0,scored,0
benign_00154,benign,0,scored,0
benign_00155,benign,0,scored,0
benign_00156,benign,0,scored,0
benign_00157,benign,0,scored,0
benign_00158,benign,0,scored,0
benign_00159,benign,0,scored,0
benign_00160,benign,0,scored,0
benign_00161,benign,0,scored,0
benign_00162,benign,0,scored,0
benign_00163,benign,0,scored,0
benign_00164,benign,0,scored,0
benign_00165,benign,0,scored,0
benign_00166,benign,0,scored,0
benign_00167,benign,0,scored,0
benign_00168,benign,0,scored,0
benign_00169,benign,0,scored,0
benign_00170,benign,0,scored,0
benign_00171,benign,0,scored,0
benign_00172,benign,0,scored,0
benign_00173,benign,0,scored,0
benign_00174,benign,0,scored,0
benign_00175,benign,0,scored,0
benign_00176,benign,0,scored,0
benign_00177,benign,0,scored,0
benign_00178,benign,0,scored,0
benign_00179,benign,0,scored,0
benign_00180,benign,0,scored,0
benign_00181,benign,0,scored,0
benign_00182,benign,0,scored,0
benign_00183,benign,0,scored,0
benign_00184,benign,0,scored,0
benign_00185,benign,0,scored,0
benign_00186,benign,0,scored,0
benign_00187,benign,0,scored,0
benign_00188,benign,0,scored,0
benign_00189,benign,0,scored,0
benign_00190,benign,0,scored,0
benign_00191,benign,0,scored,0
